,index,series_title,runtime_of_series,genre,imdb_rating,no_of_votes,index,type,title,release_year,season_count
75,1490,Firefly Lane,(2021– ),"Drama, Romance",7.6,7797,457,TV Show,Firefly Lane,2021,1
76,1277,Heartland,(II) (2007– ),"Drama, Family",8.4,9636,461,TV Show,Heartland,2019,13
77,114,Outlander,(2014– ),"Drama, Fantasy, Romance",8.4,124920,472,TV Show,Outlander,2018,4
78,327,Disenchantment,(2018– ),"Animation, Action, Adventure",7.2,47139,482,TV Show,Disenchantment,2021,3
79,356,The Magicians,(2015–2020),"Drama, Fantasy, Mystery",7.6,43830,484,TV Show,The Magicians,2020,5
80,1932,Last Tango in Halifax,(2012–2020),"Comedy, Drama, Romance",8.3,5405,486,TV Show,Last Tango in Halifax,2020,4
81,141,Cobra Kai,(2018– ),"Action, Comedy, Drama",8.6,109597,496,TV Show,Cobra Kai,2021,3
82,205,Chilling Adventures of Sabrina,(2018–2020),"Drama, Fantasy, Horror",7.5,77835,504,TV Show,Chilling Adventures of Sabrina,2020,4
83,1770,Still Game,(2002–2019),Comedy,8.8,6112,509,TV Show,Still Game,2018,9
84,262,Bridgerton,(2020– ),"Drama, Romance",7.3,61224,514,TV Show,Bridgerton,2020,1
85,1061,Shaun the Sheep,(2007–2020),"Animation, Short, Comedy",8.2,12158,517,TV Show,Shaun the Sheep,2016,2
86,1203,Home for Christmas,(2019–2020),"Comedy, Drama, Romance",7.7,10339,520,TV Show,Home for Christmas,2020,2
87,1602,Hilda,(2018–2020),"Animation, Adventure, Comedy",8.6,6993,536,TV Show,Hilda,2021,2
88,1621,Tiny Pretty Things,(2020– ),"Drama, Mystery, Thriller",5.8,6914,537,TV Show,Tiny Pretty Things,2020,1
89,820,Alice in Borderland,(2020– ),"Action, Fantasy, Mystery",7.7,17163,541,TV Show,Alice in Borderland,2020,1
90,67,Once Upon a Time,(2011–2018),"Adventure, Fantasy, Romance",7.7,208753,544,TV Show,Once Upon a Time,2019,1
91,1896,Mr. Iglesias,(2019– ),Comedy,7.1,5545,549,TV Show,Mr. Iglesias,2020,3
92,272,Big Mouth,(2017– ),"Animation, Comedy, Romance",8.0,57512,555,TV Show,Big Mouth,2020,4
